Date,alpha,rho,sigma,alpha,rho,sigma,alpha,rho,sigma,se_13_alpha,se_13_rho,se_13_sigma,se_23_alpha,se_23_rho,se_23_sigma
6/6/2018,1.896567281,-0.783194269,1.833113705,1.895682975,-0.851123803,1.785157181,2.164256002,-0.747592589,1.621107301,0.071657251,0.00126748,0.044946715,0.072131471,0.010718712,0.026912363
6/7/2018,1.923640633,-0.790627441,1.736571197,2.157998648,-0.701555651,1.59899954,1.833446759,-0.694219856,1.795309199,0.008134935,0.009294423,0.003450153,0.105333929,5.38E-05,0.038537482
6/8/2018,1.822819796,-0.789939949,1.821507376,1.59183762,-0.693359714,1.878111843,1.616294525,-0.802613375,1.873998021,0.042652688,0.000160616,0.002755268,0.00059814,0.011936362,1.69E-05
6/11/2018,1.701159916,-0.812849372,1.852188949,1.551491252,-0.871764956,1.878082042,1.624764889,-0.730067012,1.871165918,0.0058362,0.006852919,0.000360125,0.005369026,0.020078307,4.78E-05
6/12/2018,1.612370508,-0.800582804,1.888481746,1.677012463,-0.640033376,1.865752468,1.695052179,-0.647648643,1.822272275,0.006836259,0.023388858,0.004383694,0.000325431,5.80E-05,0.001890527
6/13/2018,1.587244302,-0.77768406,1.872776612,1.662944485,-0.677548052,1.831291582,1.739326877,-0.565092562,1.855713217,0.02312911,0.045195145,0.000291159,0.00583427,0.012646237,0.000596416
6/14/2018,1.606763137,-0.737127145,1.901878673,1.770676766,-0.520952828,1.867302706,1.734197602,-0.629850047,1.813124679,0.016239543,0.011508376,0.007877272,0.001330729,0.011858604,0.002935259
6/15/2018,1.627416717,-0.729555788,1.860493685,1.637441041,-0.729915277,1.831240315,3.40780313,-0.261341884,1.084672493,3.16977578,0.21922426,0.601898522,3.134181928,0.219561024,0.557363512
6/18/2018,2.121684001,-0.643206459,1.535220829,4.01691342,-0.07536461,0.875113665,0.007003334,-0.356922166,2.25784217,4.471874322,0.081958696,0.522181603,16.0793789,0.079274657,1.911938119
6/19/2018,1.374453793,-0.596074956,1.906130255,0,-0.547609714,2.888588126,1.874978033,-0.619669631,1.913319197,0.250524516,0.000556709,5.17E-05,3.515542626,0.005192632,0.951149484
6/20/2018,1.651616224,-0.66531429,1.88953389,3.486877934,-0.698273403,1.385245151,1.82398182,-0.641527624,1.875091992,0.029709899,0.000565805,0.000208568,2.765223486,0.003220083,0.239949928
6/21/2018,1.417288756,-0.693050456,2.00428644,0.9467264,-0.624557701,2.157128594,0.44510223,-1,2.316432237,0.945146642,0.094218022,0.097434998,0.251626808,0.14095692,0.02537765
6/22/2018,1.325996347,-0.821166899,2.068038393,0.306183113,-1,2.352618455,1.902842235,-0.605706375,1.888993792,0.332751178,0.046423237,0.032056969,2.549320351,0.155467462,0.214947828
6/25/2018,1.468018084,-0.802465744,2.004278429,2.781227399,-0.257318412,1.64854813,1.78890176,-0.563754605,2.251015779,0.102966334,0.056983008,0.06087932,0.984710174,0.09390314,0.362967269
6/26/2018,1.438128233,-0.770870726,2.286657575,1.130220953,-0.76431951,2.459437888,2.60412208,-0.5176638,1.856119134,1.359541653,0.064113747,0.185363349,2.172384532,0.060839039,0.363993519
6/27/2018,1.833035954,-0.745438465,2.066913895,3.14332243,-0.433788081,1.64493697,2.94010524,-0.366226439,1.775057478,1.225602404,0.14380176,0.085180168,0.041297227,0.004564575,0.016931347
6/28/2018,2.092327654,-0.682929712,2.045565274,2.529095794,-0.390514432,1.880682352,1.7353316,-0.802982696,2.317951101,0.127446182,0.014412719,0.074194039,0.630061596,0.170130069,0.191203959
6/29/2018,1.942265373,-0.772219056,2.221160709,1.119568997,-1,2.470112177,1.71971887,-0.795516677,2.230148702,0.049526946,0.000542779,8.08E-05,0.360179871,0.041813429,0.057582469
7/2/2018,1.756776592,-0.833229253,2.20850422,2.010260799,-0.647254418,2.120921936,1.624467374,-0.827530789,2.249569621,0.017505729,3.25E-05,0.001686367,0.148836566,0.03249957,0.016550227
