Date,alpha,beta,rho,sigma,Duration
1/11/2018,2.187475254018738,0.8,-0.6023104846602833,0.2671571599582049,78.0
1/12/2018,2.1750545150144522,0.8,-0.5753869624509369,0.27277777644579104,77.0
1/16/2018,2.0533000579257323,0.8,-0.6397566201121759,0.30826992343777077,73.0
1/17/2018,1.8861435413619836,0.8,-0.5826690096505167,0.3009261240243979,94.0
1/18/2018,2.1364310255658467,0.8,-0.5787235266121297,0.2980285646989638,93.0
1/19/2018,1.8706932437567052,0.8,-0.6116402416105027,0.30054266118403533,92.0
1/22/2018,1.8657949303677002,0.8,-0.6411921759228659,0.3034612769758984,89.0
1/23/2018,1.8895736116220074,0.8,-0.594682465539798,0.3071681033541072,88.0
1/24/2018,2.089424094502868,0.8,-0.5275362198847151,0.30494289526977464,87.0
1/25/2018,1.8862339548049618,0.8,-0.5689436721067123,0.31788423864283083,86.0
1/26/2018,1.8864197015744897,0.8,-0.5430104889401424,0.3153015400621768,85.0
1/29/2018,1.8565029405321416,0.8,-0.5962442449869977,0.3562554978383707,82.0
1/30/2018,1.8954680957758074,0.8,-0.6720806737035407,0.3733595756135693,81.0
1/31/2018,1.8860939227317084,0.8,-0.6364657863885589,0.3593990458123317,80.0
2/1/2018,1.8360804343671628,0.8,-0.654553944972769,0.35710354511433384,79.0
2/2/2018,1.804929802065498,0.8,-0.7444873359703349,0.42029473696128894,78.0
2/5/2018,1.1644968373112778,0.8,-0.6984867368438211,0.7381396483552131,75.0
2/6/2018,2.414434585477349,0.8,-0.5810736894485672,0.5038437155157331,74.0
2/7/2018,1.3485413976136922,0.8,-0.8214878833768933,0.5959027541934975,73.0
2/8/2018,1.7352370299323925,0.8,-0.7768050864313274,0.6585552799923374,100.0
2/9/2018,1.563808774083855,0.8,-0.801330990986331,0.6089157478912974,99.0
2/12/2018,1.8686042470232815,0.8,-0.753261660920323,0.5245547337745374,96.0
2/13/2018,1.8716250695354826,0.8,-0.7439335559468084,0.5157230024782844,95.0
2/14/2018,1.6004729908837514,0.8,-0.8022876404089145,0.4692320645860475,94.0
2/15/2018,2.6747207658312675,0.8,-0.1922436318274492,0.3656311017312532,93.0
2/16/2018,1.8719612325147716,0.8,-0.6697103535251033,0.43783137113414117,92.0
2/20/2018,1.9331363860727568,0.8,-0.734433247858493,0.4581013583178687,88.0
2/21/2018,1.7998972812451506,0.8,-0.7645490242763262,0.4751232825764961,87.0
2/22/2018,1.418046325656855,0.8,-0.6050518878147453,0.4264543812025538,86.0
2/23/2018,2.0255973495028035,0.8,-0.6319800998674387,0.38980525941596567,85.0
2/26/2018,1.567752686909437,0.8,-0.799378036768498,0.40561111899926744,82.0
2/27/2018,2.0694171556722867,0.8,-0.6601859458400586,0.424736449354578,81.0
2/28/2018,1.1978545435433017,0.8,-1.0,0.4977037392917845,80.0
3/1/2018,1.4258380291384982,0.8,-0.88643344151655,0.5352915509752793,79.0
3/2/2018,1.9093914635869744,0.8,-0.7609890312587362,0.47015145317629664,78.0
3/5/2018,2.0711530241781184,0.8,-0.6787003565701457,0.4314030945161333,75.0
3/6/2018,2.07441583068034,0.8,-0.6711929107273567,0.43405994467511416,74.0
3/7/2018,2.001312991468159,0.8,-0.727754498838366,0.4378718460090799,73.0
3/8/2018,1.233101089401686,0.8,-0.9368762254738999,0.46608606399356906,100.0
3/9/2018,1.1668826569026887,0.8,-0.8930388979252775,0.43338392861880354,99.0
