,Close
1825,1475.14
1826,1471.17
1827,1468.54
1828,1482.78
1829,1484.66
1830,1483.18
1831,1473.67
1832,1478.76
1833,1479.84
1834,1495.93
1835,1506.75
1836,1541.9
1837,1557.01
1838,1609.48
1839,1611.85
1840,1601.38
1841,1621.85
1842,1607.97
1843,1644.63
1844,1632.41
1845,1619.01
1846,1593.42
1847,1595.66
1848,1619.25
1849,1607.91
1850,1610.14
1851,1596.84
1852,1612
1853,1613.13
1854,1609.09
1855,1600.34
1856,1587.03
1857,1594.18
1858,1577.42
1859,1573.39
1860,1572.79
1861,1563.89
1862,1581.28
1863,1586.02
1864,1607.5
1865,1624.03
1866,1637.29
1867,1656.24
1868,1645.11
1869,1629.99
1870,1622.82
1871,1630.2
1872,1624.19
1873,1601.01
1874,1605.55
1875,1609.87
1876,1619.58
